Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
2634,15.9678948146,7.7246588658,1.77315523525,5.95150363056,91.7614678899,53.5471943128,3738.9,3825.0,3738.0,3816.02,1.0
2635,19.6246524412,16.9303486361,4.80459391541,12.1257547207,89.0173410405,58.983563097,3816.02,3894.0,3814.45,3875.0,1.0
2636,23.1127076427,25.9441471896,9.03250457024,16.9116426193,98.888147654,63.6632978474,3875.0,3902.0,3864.03,3900.0,1.0
2637,26.7702480529,33.6678452336,13.9595727029,19.7082725307,85.1523470903,68.077824153,3902.0,3944.99,3891.42,3912.0,1.0
2638,29.0376751614,36.4668924734,18.461036657,18.0058558164,68.7994931897,71.7866305133,3914.33,3917.9,3870.0,3876.04,-1.0
2639,31.1579268623,39.9211101972,22.753051365,17.1680588321,78.1131558519,74.6451672308,3876.04,3919.0,3873.55,3897.06,1.0
2640,33.1267320131,42.081524537,26.6187459994,15.4627785375,77.3891807207,77.3856595438,3897.41,3907.5,3884.0,3895.92,-1.0
2641,32.5320983808,39.2788688255,29.1507705646,10.1280982609,54.1931619206,76.2181308005,3894.66,3907.0,3832.33,3845.58,-1.0
2642,31.9799385793,38.254009008,30.9714182533,7.28259075469,62.677484787,73.5197836938,3844.02,3868.0,3837.18,3865.87,1.0
2643,31.4672187636,36.2253694472,32.0222084921,4.2031609551,57.6115423075,74.689160475,3866.0,3867.6,3848.24,3855.97,-1.0
2644,31.4730264812,35.6614453531,32.7500558643,2.91138948883,66.1968477692,72.8518896875,3855.97,3886.68,3851.28,3874.0,1.0
2645,31.5778688317,35.9236535945,33.3847754103,2.53887818416,72.6689334802,72.2485850951,3873.8,3890.78,3873.31,3887.92,1.0
2646,31.8661355065,36.1305272469,33.9339257777,2.19660146927,75.0372614068,72.9419678788,3887.93,3898.55,3877.4,3893.07,1.0
2647,32.3454013524,36.9410347838,34.5353475789,2.40568720488,81.3372626697,73.5528124869,3893.07,3907.28,3871.11,3906.36,1.0
2648,34.157028943,40.8844120872,35.8051604805,5.07925160662,80.3639735713,75.6316876984,3907.53,3986.99,3906.0,3953.11,1.0
2649,35.8837194509,45.1760676714,37.6793419187,7.49672575273,89.5581821629,74.8175809614,3953.08,3990.54,3944.91,3974.02,1.0
2650,37.4870749225,48.4639907911,39.8362716932,8.6277190979,93.0472157259,74.8562124701,3974.28,3990.0,3945.0,3979.54,1.0
2651,38.9759050033,50.0425745368,41.8775322619,8.16504227487,89.5202578851,74.4390030467,3979.63,3984.9,3956.04,3973.96,-1.0
2652,40.901494156,52.7847404397,44.0589738975,8.72576654222,85.6799713804,74.7509966749,3973.96,4028.0,3965.16,3999.98,1.0
2653,42.6895412264,54.8509417546,46.2173674689,8.63357428571,89.0070015843,75.9567451171,4002.27,4013.96,3982.76,4006.49,1.0
2654,43.8131524528,54.2101485768,47.8159236905,6.39422488632,78.535289007,76.7348769551,4006.0,4006.7,3973.1,3986.0,-1.0
